elapsed_s,state,rss_mb,swap_mb,cpu_percent,threads,temperature_c,heartbeat_age_s,overflows,captured_s,processed_s,backlog_s,processing_calls,parse_last_ms,parse_max_ms,process_last_ms,process_max_ms,returned_lines,returned_audio_s,completed_lines,last_line_duration_s,last_decode_ms,callback_gap_max_ms,actual_rate,actual_latency_s
20.04,running,485.515625,0.0,22.97985838389614,25,63.9,0.9205143451690674,0,19.584000000000014,19.584000000000007,7.105427357601002e-15,76,0.05751899880124256,0.06683299943688326,2.330620998691302,1651.8416090002574,3,0.0,3,8.960000038146973,566,71.32916199952888,16000.0,0.064
21.04,running,485.59375,0.0,189.89353542981448,25,65.55,1.9211196899414062,0,19.584000000000014,19.584000000000007,7.105427357601002e-15,76,0.05751899880124256,0.06683299943688326,2.330620998691302,1651.8416090002574,3,0.0,3,8.960000038146973,566,71.32916199952888,16000.0,0.064
22.04,running,485.515625,0.0,316.8159635081278,25,67.2,0.9212169647216797,0,21.568000000000016,21.56800000000001,7.105427357601002e-15,101,0.06718599979649298,0.07268500121426769,1.6118040002766065,1651.8416090002574,4,0.0,3,8.960000038146973,566,71.32916199952888,16000.0,0.064
23.04,running,549.59375,0.0,251.85519182744912,25,67.2,1.9222402572631836,0,21.568000000000016,21.56800000000001,7.105427357601002e-15,101,0.06718599979649298,0.07268500121426769,1.6118040002766065,1651.8416090002574,4,0.0,3,8.960000038146973,566,71.32916199952888,16000.0,0.064
24.04,running,485.59375,0.0,290.75075680929535,25,67.75,0.9258601665496826,0,23.552000000000017,23.16800000000001,0.38400000000000745,112,0.07249999907799065,0.07268500121426769,0.2767240002867766,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
25.04,running,549.59375,0.0,340.7230797023101,25,68.3,1.9269137382507324,0,23.552000000000017,23.16800000000001,0.38400000000000745,112,0.07249999907799065,0.07268500121426769,0.2767240002867766,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
26.05,running,485.515625,0.0,325.6450882108655,25,67.2,0.9277393817901611,0,25.60000000000002,24.89600000000001,0.7040000000000077,120,0.07331500091822818,0.07331500091822818,2.62052899961418,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
27.05,running,549.515625,0.0,358.4504080626118,25,69.95,1.9285714626312256,0,25.60000000000002,24.89600000000001,0.7040000000000077,120,0.07331500091822818,0.07331500091822818,2.62052899961418,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
28.05,running,551.734375,0.0,334.32544091867766,25,68.3,0.9300169944763184,0,27.58400000000002,27.072000000000013,0.5120000000000076,126,0.07383299998764414,0.0758339992898982,2.332305999516393,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
29.05,running,485.515625,0.0,338.78496031173574,25,68.85,1.93082857131958,0,27.58400000000002,27.072000000000013,0.5120000000000076,126,0.07383299998764414,0.0758339992898982,2.332305999516393,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
30.05,running,531.359375,0.0,248.80889710192477,25,67.75,0.927762508392334,0,29.568000000000023,29.248000000000015,0.3200000000000074,135,0.06879700049466919,0.07787100003042724,2.114916998834815,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
31.05,running,520.71875,0.0,246.6826844157983,25,68.3,1.9290175437927246,0,29.568000000000023,29.248000000000015,0.3200000000000074,135,0.06879700049466919,0.07787100003042724,2.114916998834815,1651.8416090002574,5,0.0,4,2.1439990997314453,193,71.32916199952888,16000.0,0.064
