elapsed_s,state,rss_mb,swap_mb,cpu_percent,threads,temperature_c,heartbeat_age_s,overflows,captured_s,processed_s,backlog_s,processing_calls,parse_last_ms,parse_max_ms,process_last_ms,process_max_ms,returned_lines,returned_audio_s,completed_lines,last_line_duration_s,last_decode_ms,callback_gap_max_ms,actual_rate,actual_latency_s
0.0,,0.609375,0.0,,1,49.6,,,,,,,,,,,,,,,,,,
0.0,running,408.703125,0.0,87.94668320271303,25,50.15,0.3693690299987793,0,0.0,0.0,0.0,0,,0.0,,0.0,,,0,,,0.0,16000.0,0.064
1.0,running,409.921875,0.0,1.998812783160404,25,50.15,1.3699088096618652,0,0.0,0.0,0.0,0,,0.0,,0.0,,,0,,,0.0,16000.0,0.064
2.0,running,409.921875,0.0,1.9989970252326652,25,49.6,0.7627944946289062,0,1.600000000000001,1.600000000000001,0.0,25,0.013573999240179546,0.0181480008905055,0.29529700077546295,8.219437000661856,0,0.0,0,,,64.06951499957358,16000.0,0.064
3.0,running,409.953125,0.0,1.9989828535577119,25,50.15,1.7633097171783447,0,1.600000000000001,1.600000000000001,0.0,25,0.013573999240179546,0.0181480008905055,0.29529700077546295,8.219437000661856,0,0.0,0,,,64.06951499957358,16000.0,0.064
4.0,running,409.953125,0.0,1.9989194021585082,25,51.25,0.763399600982666,0,3.5840000000000027,3.5840000000000027,0.0,56,0.013722999938181601,0.0181480008905055,7.880473000113852,8.219437000661856,0,0.0,0,,,64.06951499957358,16000.0,0.064
5.0,running,409.953125,0.0,2.99838815048726,25,49.6,1.7640423774719238,0,3.5840000000000027,3.5840000000000027,0.0,56,0.013722999938181601,0.0181480008905055,7.880473000113852,8.219437000661856,0,0.0,0,,,64.06951499957358,16000.0,0.064
6.0,running,409.953125,0.0,2.998085728256805,25,49.6,0.7643008232116699,0,5.568000000000004,5.568000000000004,0.0,87,0.01727800008666236,0.0181480008905055,0.41044599856832065,11.122874000648153,0,0.0,0,,,64.06951499957358,16000.0,0.064
7.0,running,409.953125,0.0,2.9979484079735106,25,50.15,1.7649922370910645,0,5.568000000000004,5.568000000000004,0.0,87,0.01727800008666236,0.0181480008905055,0.41044599856832065,11.122874000648153,0,0.0,0,,,64.06951499957358,16000.0,0.064
8.0,running,409.953125,0.0,2.9979294320706256,25,49.05,0.765169620513916,0,7.552000000000006,7.552000000000006,0.0,118,0.018500000805943273,0.018500000805943273,0.4080580001755152,11.261172001468367,0,0.0,0,,,64.06951499957358,16000.0,0.064
9.01,running,409.953125,0.0,2.998003890034398,25,49.05,1.76582932472229,0,7.552000000000006,7.552000000000006,0.0,118,0.018500000805943273,0.018500000805943273,0.4080580001755152,11.261172001468367,0,0.0,0,,,64.06951499957358,16000.0,0.064
10.01,running,409.953125,0.0,3.9973688518729733,25,48.5,0.7659907341003418,0,9.600000000000007,9.600000000000007,0.0,150,0.01796300057321787,0.018574999558040872,0.4080199996678857,11.261172001468367,0,0.0,0,,,64.06951499957358,16000.0,0.064
11.01,running,409.953125,0.0,2.9979832506741113,25,49.05,1.7667036056518555,0,9.600000000000007,9.600000000000007,0.0,150,0.01796300057321787,0.018574999558040872,0.4080199996678857,11.261172001468367,0,0.0,0,,,64.06951499957358,16000.0,0.064
12.01,running,409.953125,0.0,2.9979332068575744,25,50.7,0.766897439956665,0,11.584000000000009,11.584000000000009,0.0,181,0.018036998881143518,0.018574999558040872,0.4124079987377627,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
13.01,running,409.953125,0.0,2.998021866197468,25,49.05,1.7676327228546143,0,11.584000000000009,11.584000000000009,0.0,181,0.018036998881143518,0.018574999558040872,0.4124079987377627,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
14.01,running,409.953125,0.0,1.9985222806357426,25,48.5,0.7678272724151611,0,13.56800000000001,13.56800000000001,0.0,212,0.01690700082690455,0.018574999558040872,0.4125200011912966,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
15.01,running,409.953125,0.0,2.99793515117966,25,49.6,1.7685127258300781,0,13.56800000000001,13.56800000000001,0.0,212,0.01690700082690455,0.018574999558040872,0.4125200011912966,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
16.01,running,409.953125,0.0,1.9986364902112892,25,49.05,0.7686831951141357,0,15.552000000000012,15.552000000000012,0.0,243,0.04494499989959877,0.04494499989959877,0.39046399979270063,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
17.01,running,409.96875,0.0,2.9979971759972672,25,49.05,1.7693545818328857,0,15.552000000000012,15.552000000000012,0.0,243,0.04494499989959877,0.04494499989959877,0.39046399979270063,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
18.01,running,409.96875,0.0,2.9980114370009106,25,49.05,0.7695343494415283,0,17.600000000000012,17.600000000000012,0.0,275,0.016759000573074445,0.04494499989959877,0.40505699871573597,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
19.01,running,409.96875,0.0,2.997965499665265,25,49.05,1.7702138423919678,0,17.600000000000012,17.600000000000012,0.0,275,0.016759000573074445,0.04494499989959877,0.40505699871573597,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
20.01,running,409.96875,0.0,2.997986800902191,25,48.5,0.7703902721405029,0,19.584000000000014,19.584000000000014,0.0,306,0.017277001461479813,0.04494499989959877,0.4028899984405143,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
21.01,running,409.96875,0.0,2.9980346293994793,25,50.15,1.771047592163086,0,19.584000000000014,19.584000000000014,0.0,306,0.017277001461479813,0.04494499989959877,0.4028899984405143,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
22.01,running,409.96875,0.0,2.998024808320891,25,49.05,0.7712159156799316,0,21.568000000000016,21.568000000000016,0.0,337,0.016517999029019848,0.04494499989959877,0.4666129989345791,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
23.01,running,409.96875,0.0,2.9979646128680444,25,49.05,1.771874189376831,0,21.568000000000016,21.568000000000016,0.0,337,0.016517999029019848,0.04494499989959877,0.4666129989345791,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
24.02,running,415.140625,0.0,112.92345698024876,25,51.8,0.7720677852630615,0,23.552000000000017,23.552000000000017,0.0,368,0.016444999346276745,0.04494499989959877,11.115375000372296,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
25.02,running,422.984375,0.0,289.78026657885994,25,54.0,1.7728197574615479,0,23.552000000000017,23.552000000000017,0.0,368,0.016444999346276745,0.04494499989959877,11.115375000372296,13.131085999702918,0,0.0,0,,,64.07601499995508,16000.0,0.064
26.02,running,431.359375,0.0,342.5889173598822,25,56.2,0.7725090980529785,0,25.60000000000002,25.02400000000002,0.5760000000000005,381,3.480494000541512,3.480494000541512,1.8534889986767666,478.57101099907595,1,1.248,0,,,67.57110199941962,16000.0,0.064
27.02,running,501.90625,0.0,334.7555052912805,25,56.75,1.7736623287200928,0,25.60000000000002,25.02400000000002,0.5760000000000005,381,3.480494000541512,3.480494000541512,1.8534889986767666,478.57101099907595,1,1.248,0,,,67.57110199941962,16000.0,0.064
28.02,running,482.96875,0.0,354.57205811854686,25,56.75,0.7738540172576904,0,27.58400000000002,27.39200000000002,0.19200000000000017,387,8.83429199893726,8.83429199893726,3.146455999740283,825.0763110008847,1,3.296,0,,,67.57110199941962,16000.0,0.064
29.02,running,456.4375,0.0,349.56066691056407,25,59.5,1.774550437927246,0,27.58400000000002,27.39200000000002,0.19200000000000017,387,8.83429199893726,8.83429199893726,3.146455999740283,825.0763110008847,1,3.296,0,,,67.57110199941962,16000.0,0.064
30.02,running,509.578125,0.0,348.785433479524,25,58.95,0.7753098011016846,0,29.568000000000023,28.608000000000022,0.9600000000000009,389,11.00722600131121,11.00722600131121,4.843703000005917,1192.487873000573,1,4.128,0,,,67.57110199941962,16000.0,0.064
31.03,running,460.078125,0.0,345.547774316256,25,60.05,1.7790582180023193,0,29.568000000000023,28.608000000000022,0.9600000000000009,389,11.00722600131121,11.00722600131121,4.843703000005917,1192.487873000573,1,4.128,0,,,67.57110199941962,16000.0,0.064
32.03,running,461.078125,0.0,322.75136880606885,25,60.05,0.7788801193237305,0,31.552000000000024,31.168000000000024,0.38400000000000034,393,18.916846998763504,18.916846998763504,4.468961000384297,1397.0190740001271,2,7.104,1,5.951999664306641,667,69.24968199928117,16000.0,0.064
33.03,running,522.390625,0.0,338.80089281322745,25,61.15,1.78007173538208,0,31.552000000000024,31.168000000000024,0.38400000000000034,393,18.916846998763504,18.916846998763504,4.468961000384297,1397.0190740001271,2,7.104,1,5.951999664306641,667,69.24968199928117,16000.0,0.064
34.03,running,461.75,0.0,336.5845617540339,25,61.15,0.78006911277771,0,33.60000000000002,33.02400000000002,0.5760000000000005,400,25.066055000934284,25.066055000934284,2.4444160007988103,1397.0190740001271,2,9.472,1,5.951999664306641,667,69.24968199928117,16000.0,0.064
35.03,running,462.453125,0.0,322.7698779872436,25,61.15,1.780787706375122,0,33.60000000000002,33.02400000000002,0.5760000000000005,400,25.066055000934284,25.066055000934284,2.4444160007988103,1397.0190740001271,2,9.472,1,5.951999664306641,667,69.24968199928117,16000.0,0.064
36.03,running,501.59375,0.0,339.7379998305843,25,63.35,0.7814726829528809,0,35.584000000000024,35.456000000000024,0.1280000000000001,408,32.20015599981707,32.20015599981707,1.8658769986359403,1397.0190740001271,3,12.224,2,3.8079986572265625,556,74.54375700035598,16000.0,0.064
37.03,running,463.1875,0.0,112.86214735166676,25,57.85,1.7820775508880615,0,35.584000000000024,35.456000000000024,0.1280000000000001,408,32.20015599981707,32.20015599981707,1.8658769986359403,1397.0190740001271,3,12.224,2,3.8079986572265625,556,74.54375700035598,16000.0,0.064
38.03,running,464.078125,0.0,182.90244605376833,25,60.05,0.7782011032104492,0,37.568000000000026,37.504000000000026,0.06400000000000006,426,35.18835300019418,35.45674300039536,0.25352000011480413,1397.0190740001271,3,13.408,3,3.6480026245117188,238,77.49573100045382,16000.0,0.064
39.03,running,521.5625,0.0,250.85169647712036,25,61.15,1.779400110244751,0,37.568000000000026,37.504000000000026,0.06400000000000006,426,35.18835300019418,35.45674300039536,0.25352000011480413,1397.0190740001271,3,13.408,3,3.6480026245117188,238,77.49573100045382,16000.0,0.064
40.04,running,530.25,0.0,304.61777262505444,25,61.7,0.7796480655670166,0,39.61600000000003,39.04000000000003,0.5760000000000005,439,40.90737299884495,40.90737299884495,0.27064900132245384,1397.0190740001271,5,15.584,4,1.279998779296875,243,77.49573100045382,16000.0,0.064
41.04,running,465.328125,0.0,318.2950995348852,25,62.25,1.7817859649658203,0,39.61600000000003,39.04000000000003,0.5760000000000005,439,40.90737299884495,40.90737299884495,0.27064900132245384,1397.0190740001271,5,15.584,4,1.279998779296875,243,77.49573100045382,16000.0,0.064
42.04,running,466.109375,0.0,333.7876876652277,25,62.25,0.7812867164611816,0,41.60000000000003,40.70400000000003,0.8960000000000008,447,46.7139499996847,46.7139499996847,625.2581270000519,1397.0190740001271,5,17.696,4,1.279998779296875,243,78.66142099919671,16000.0,0.064
43.04,running,466.515625,0.0,350.78443770124755,25,63.35,1.7821600437164307,0,41.60000000000003,40.70400000000003,0.8960000000000008,447,46.7139499996847,46.7139499996847,625.2581270000519,1397.0190740001271,5,17.696,4,1.279998779296875,243,78.66142099919671,16000.0,0.064
44.04,running,495.421875,0.0,340.5200121853897,25,62.8,0.7831270694732666,0,43.58400000000003,42.36800000000003,1.216000000000001,451,50.97998399833159,50.97998399833159,655.7771650004725,1397.0190740001271,5,19.36,4,1.279998779296875,243,78.66142099919671,16000.0,0.064
